FIRE_NUMBER,FIRE_YEAR,FIRE_CAUSE,FIRE_DATE
G40189,2004,Lightning,2004-06-23
G40496,2004,Lightning,2004-08-12
G50037,2004,Person,2004-04-20
R40015,2005,Person,2005-04-30
R40016,2005,Person,2005-04-29
R40020,2005,Person,2005-04-30
R40021,2005,Person,2005-04-30
R40022,2005,Person,2005-04-30
R40023,2005,Person,2005-04-30
R40024,2005,Person,2005-04-30
R40025,2005,Person,2005-04-30
R40026,2005,Person,2005-04-20
R90040,2005,Person,2005-05-11
V30268,2005,Lightning,2005-08-10
G70279,2006,Person,2006-06-27
G70280,2006,Lightning,2006-06-20
G70294,2006,Lightning,2006-06-27
G70308,2006,Lightning,2006-07-24
G70309,2006,Lightning,2006-06-28
G70312,2006,Lightning,2006-06-27
G70316,2006,Lightning,2006-06-30
G70319,2006,Lightning,2006-06-29
G70319,2006,Lightning,2006-06-29
G70323,2006,Lightning,2006-06-30
G70329,2006,Lightning,2006-07-01
G70333,2006,Lightning,2006-07-01
K40695,2003,Lightning,2003-09-03
K50007,2003,Person,2003-04-01
K50121,2003,Person,2003-07-02
K50195,2003,Person,2003-07-16
K50628,2003,Lightning,2003-08-16
K50661,2003,Person,2003-08-22
G50165,2004,Lightning,2004-06-21
G60166,2004,Lightning,2004-06-21
