longitude,latitude,FIRE_DATE,FIRE_CAUSE,FIRE_SIZE_HECTARES,FIRE_YEAR
-124.02559183642582,51.75242612934999,2015-08-14,Lightning,7.7,2015
-124.03266728042365,51.0546640023776,2015-08-15,Lightning,377.0,2015
-123.20260472637034,51.73122738607323,2015-08-25,Person,11.8,2015
-123.17597852848104,52.03386888700028,2016-03-30,Person,2.5,2015
-122.63477844635739,52.48382104289386,2015-04-16,Person,2.6,2015
-123.5075905819796,53.35691385322941,2015-05-04,Lightning,164.2,2015
-123.03619711476053,52.80573967783113,2015-07-24,Lightning,1.0,2015
-122.45487429551227,52.66819299058011,2016-03-26,Person,2.4,2015
-122.45683063758956,51.90071963629585,2015-04-06,Person,37.9,2015
-122.48439036597414,51.90275934534602,2015-04-06,Person,2.4,2015
-122.49943559408604,51.85107027977193,2015-04-08,Person,349.7,2015
-122.50754029652443,51.93228410847104,2015-06-11,Person,2.0,2015
-122.3935245691354,51.8407420932939,2015-06-29,Lightning,24.6,2015
-122.6769616969565,51.89283247893776,2015-06-30,Lightning,636.9,2015
-122.92507618835455,51.93925829504812,2015-08-04,Lightning,1.2,2015
-122.48248001667308,52.01178575520269,2015-08-19,Person,33.3,2015
-121.99194309195259,52.10020227979467,2016-03-19,Person,5.0,2015
-121.99954719358843,52.10169660551766,2016-03-24,Person,13.0,2015
-121.51224550974959,52.27210571238303,2015-05-23,Lightning,3.2,2015
-120.82352604601137,52.434918238883,2015-06-29,Lightning,2.2,2015
-120.88777049837682,52.454229477265535,2015-08-29,Person,1.4,2015
-121.870126432249,51.39559974341668,2015-04-08,Person,7.5,2015
-122.06614211379646,51.431850554661075,2015-04-11,Person,3.7,2015
-121.9663110127317,51.25502051743623,2015-04-11,Person,1.8,2015
-121.04066385410748,51.278142919498464,2015-05-19,Lightning,1.3,2015
-121.03321787576374,51.267554103639085,2015-05-26,Lightning,3.8,2015
-121.44914718317834,51.198259655828934,2015-06-30,Lightning,0.8,2015
-121.64232924829811,51.50347935215445,2015-07-07,Person,0.9,2015
-121.98065831990722,51.414556420427594,2016-03-21,Person,2.4,2015
-123.26036253415315,52.073607335014316,2015-04-08,Person,2.1,2015
